time,completions,q_len,lat_p50,lat_p95,lat_p99,rho_tau_est,idle_budget,dream_cpu_secs,dream_events,action,reward
93.0,56,0,0.4009792779612935,0.8686721971401128,0.9416140591265948,0.4751220981238561,0.10756477386145705,6.29693401531953,61,0,-0.010756477386145706
94.0,56,0,0.4009792779612935,0.8686721971401128,0.9416140591265948,0.4782620963449157,0.1112653301155918,6.404755728499497,62,0,-0.01112653301155918
95.0,56,0,0.4009792779612935,0.8686721971401128,0.9416140591265948,0.46619281135203217,0.10407908818455486,6.50945009683914,63,0,-0.010407908818455486
96.0,56,0,0.4009792779612935,0.8686721971401128,0.9416140591265948,0.46116047194290766,0.10586576447604162,6.616538982554472,64,0,-0.010586576447604162
97.0,57,0,0.3983065376771723,0.8663897750851784,0.9413497355180875,0.4699780179985182,0.10589171749633915,6.72025484058104,65,0,-0.010589171749633915
98.0,57,0,0.3983065376771723,0.8663897750851784,0.9413497355180875,0.46510332142147676,0.10835182504345064,6.825552409784342,66,0,-0.010835182504345064
99.0,57,0,0.3983065376771723,0.8663897750851784,0.9413497355180875,0.46619022459627524,0.10680149318808835,6.9341296986524,67,0,-0.010680149318808835
100.0,57,2,0.3983065376771723,0.8663897750851784,0.9413497355180875,0.4645207597130796,0.10610172623853412,6.9341296986524,67,0,-0.010610172623853413
101.0,58,1,0.4009792779612935,0.8931798277102425,0.9410854119095804,0.46863311455764745,0.10768907398008093,6.9341296986524,67,0,-0.010768907398008093
102.0,58,2,0.4009792779612935,0.8931798277102425,0.9410854119095804,0.4506294812820949,0.10631370049814073,6.9341296986524,67,0,-0.010631370049814074
103.0,59,1,0.3983065376771723,0.89260755122472,0.9408210883010732,0.45074416248540977,0.10720735112661567,6.9341296986524,67,0,-0.010720735112661568
104.0,59,1,0.3983065376771723,0.89260755122472,0.9408210883010732,0.4589619505019345,0.1095275763298883,6.9341296986524,67,3,-0.01095275763298883
105.0,60,1,0.4009792779612935,0.8920352747391976,0.9405567646925659,0.45861547969230526,0.10780580529091394,6.9341296986524,67,0,-0.010780580529091394
106.0,60,1,0.4009792779612935,0.8920352747391976,0.9405567646925659,0.46217865182042417,0.10853069085507681,6.9341296986524,67,0,-0.010853069085507682
107.0,60,1,0.4009792779612935,0.8920352747391976,0.9405567646925659,0.4395705806085511,0.10574849191663918,6.9341296986524,67,3,-0.010574849191663918
108.0,61,0,0.3983065376771723,0.8914629982536753,0.9402924410840587,0.4713517654002283,0.10352756682407978,7.044387709981642,68,2,-0.010352756682407979
109.0,62,0,0.4009792779612935,0.8897528526842634,0.9400281174755516,0.4528835466579564,0.10675423761419323,7.1520628598520855,69,2,-0.010675423761419323
110.0,62,0,0.4009792779612935,0.8897528526842634,0.9400281174755516,0.4688138453809149,0.10852485512784023,7.261969981761365,70,2,-0.010852485512784024
111.0,62,0,0.4009792779612935,0.8897528526842634,0.9400281174755516,0.469460259164322,0.11085059140566433,7.367415106561087,71,0,-0.011085059140566435
112.0,63,0,0.4036520182454147,0.8880427071148519,0.9397637938670445,0.45975298613975124,0.10473154691780202,7.474733485270753,72,1,-0.010473154691780203
113.0,63,1,0.4036520182454147,0.8880427071148519,0.9397637938670445,0.46460516183425815,0.1056375447082745,7.474733485270753,72,3,-0.01056375447082745
114.0,64,0,0.4009792779612935,0.8863325615454402,0.9394994702585371,0.4750568194478611,0.10599128002895403,7.580384635494178,73,1,-0.010599128002895404
115.0,65,1,0.3983065376771723,0.8846224159760285,0.9392351466500299,0.4690271092290517,0.10587483498774214,7.580384635494178,73,1,-0.010587483498774215
116.0,66,1,0.39598247735385345,0.882912270406617,0.9389708230415226,0.47091540243925145,0.1029935386162812,7.580384635494178,73,1,-0.01029935386162812
117.0,68,0,0.39598247735385345,0.8794919792677937,0.9384421758245083,0.46238820722789925,0.10691173521886843,7.68671041820203,74,1,-0.010691173521886844
118.0,68,0,0.39598247735385345,0.8794919792677937,0.9384421758245083,0.465649470179557,0.10858085694248992,7.792037926740998,75,1,-0.010858085694248993
119.0,68,2,0.39598247735385345,0.8794919792677937,0.9384421758245083,0.4678993007845604,0.10629986854175338,7.792037926740998,75,1,-0.010629986854175339
120.0,70,0,0.39598247735385345,0.8760716881289703,0.937913528607494,0.46384500094984343,0.1080541429213585,7.883641580977196,76,1,-0.01080541429213585
121.0,70,0,0.39598247735385345,0.8760716881289703,0.937913528607494,0.46940950570668294,0.10387726132605578,7.989641735514933,77,1,-0.01038772613260558
122.0,70,2,0.39598247735385345,0.8760716881289703,0.937913528607494,0.4667325419097409,0.10606215940836178,7.989641735514933,77,1,-0.010606215940836178
123.0,72,0,0.39598247735385345,0.8726513969901473,0.9373848813904796,0.46592463953861496,0.10618703723317668,8.096879982746879,78,1,-0.01061870372331767
124.0,72,2,0.39598247735385345,0.8726513969901473,0.9373848813904796,0.4575230938067555,0.10700378913673723,8.096879982746879,78,1,-0.010700378913673723
125.0,73,1,0.3983065376771723,0.8709412514207352,0.9371205577819723,0.4718833581656272,0.10467825354572807,8.096879982746879,78,1,-0.010467825354572809
126.0,73,1,0.3983065376771723,0.8709412514207352,0.9371205577819723,0.47216142898477137,0.10586560918683877,8.096879982746879,78,1,-0.010586560918683877
127.0,74,1,0.3997790720241065,0.8692311058513237,0.936856234173465,0.46196457499415544,0.10540549365727397,8.096879982746879,78,1,-0.010540549365727398
128.0,74,2,0.3997790720241065,0.8692311058513237,0.936856234173465,0.4697681651747362,0.10768275305253949,8.096879982746879,78,1,-0.01076827530525395
129.0,75,1,0.3983065376771723,0.8675209602819121,0.936591910564958,0.47727440179105757,0.10494078348441474,8.096879982746879,78,1,-0.010494078348441474
130.0,75,1,0.3983065376771723,0.8675209602819121,0.936591910564958,0.46588643444244104,0.10585327925647162,8.096879982746879,78,1,-0.010585327925647162
131.0,76,2,0.3982324819008765,0.8658108147125005,0.9363275869564507,0.45301560384008965,0.10619372446755869,8.096879982746879,78,1,-0.01061937244675587
132.0,77,1,0.39815842612458074,0.864100669143089,0.9360632633479433,0.4712933678631734,0.10911749988270386,8.096879982746879,78,1,-0.010911749988270388
133.0,78,0,0.3959084215775577,0.862390523573677,0.9357989397394364,0.4635292209289916,0.10510302202440731,8.202862137261985,79,1,-0.010510302202440732
134.0,79,1,0.39815842612458074,0.89260755122472,0.9513251286663931,0.4627765042266659,0.10343877544205134,8.202862137261985,79,1,-0.010343877544205134
135.0,79,1,0.39815842612458074,0.89260755122472,0.9513251286663931,0.4766253413114878,0.10791490535814019,8.202862137261985,79,1,-0.010791490535814019
136.0,80,0,0.3959084215775577,0.8920352747391976,0.9512632475262892,0.4774019097047185,0.10752813562829755,8.310455200744746,80,1,-0.010752813562829755
137.0,80,0,0.3959084215775577,0.8920352747391976,0.9512632475262892,0.4582617886971281,0.10816886646509621,8.418272461595226,81,1,-0.010816886646509621
138.0,80,0,0.3959084215775577,0.8920352747391976,0.9512632475262892,0.46534224674773167,0.10637939804681668,8.525604184594833,82,1,-0.010637939804681668
139.0,80,1,0.3959084215775577,0.8920352747391976,0.9512632475262892,0.45906967772520135,0.10188271812104771,8.525604184594833,82,1,-0.010188271812104771
140.0,80,1,0.3959084215775577,0.8920352747391976,0.9512632475262892,0.4786827476845853,0.10544519619189384,8.525604184594833,82,2,-0.010544519619189384
141.0,82,0,0.3959084215775577,0.8908098893480549,0.9511394852460816,0.45003969808927013,0.10643484729651874,8.542424757782932,83,1,-0.010643484729651875
142.0,82,3,0.3959084215775577,0.8908098893480549,0.9511394852460816,0.4487705186925117,0.1097966955869719,8.542424757782932,83,1,-0.01097966955869719
143.0,83,3,0.3936584170305346,0.8901567804424344,0.9510776041059777,0.46403680850953505,0.10561200293347955,8.542424757782932,83,3,-0.010561200293347957
144.0,85,2,0.38994064847804855,0.8888505626311938,0.9509538418257701,0.4714835839136172,0.10420507234734494,8.542424757782932,83,1,-0.010420507234734495
145.0,88,0,0.37807281527619974,0.8868912359143326,0.9507681984054587,0.4625849081810902,0.10671547384867247,8.65046640820269,84,1,-0.010671547384867247
146.0,88,0,0.37807281527619974,0.8868912359143326,0.9507681984054587,0.47111500480166113,0.10677452121611633,8.757286988921681,85,1,-0.010677452121611634
147.0,88,0,0.37807281527619974,0.8868912359143326,0.9507681984054587,0.4657615508939374,0.10694222498470754,8.864961638161605,86,1,-0.010694222498470754
148.0,88,0,0.37807281527619974,0.8868912359143326,0.9507681984054587,0.4799235237111598,0.1075288420343926,8.971844430488922,87,1,-0.010752884203439261
149.0,88,0,0.37807281527619974,0.8868912359143326,0.9507681984054587,0.48269038898063715,0.10546761234143937,9.078310214843464,88,1,-0.010546761234143937
150.0,89,0,0.38008074115182905,0.8862381270087123,0.9507063172653549,0.4497907499158123,0.105361517012458,9.185995424193703,89,1,-0.0105361517012458
151.0,89,0,0.38008074115182905,0.8862381270087123,0.9507063172653549,0.4739220860383191,0.10697613582599469,9.29339674989845,90,2,-0.01069761358259947
152.0,91,0,0.3760648894005704,0.8849319091974717,0.9505825549851472,0.462474534843014,0.1059096145712216,9.398818445315861,91,1,-0.01059096145712216
153.0,92,0,0.3736775633920846,0.8842788002918514,0.9505206738450435,0.4468241575302147,0.10716021726920438,9.504830359898612,92,1,-0.01071602172692044
154.0,92,0,0.3736775633920846,0.8842788002918514,0.9505206738450435,0.47272301113643866,0.10795681009808021,9.610230946607626,93,1,-0.010795681009808022
155.0,92,0,0.3736775633920846,0.8842788002918514,0.9505206738450435,0.463546348022038,0.10836277697979534,9.717212488810265,94,1,-0.010836277697979534
156.0,93,0,0.3760648894005704,0.8836256913862308,0.9504587927049396,0.45706031899982424,0.1077535408815201,9.822177945564269,95,1,-0.010775354088152011
157.0,94,1,0.3736775633920846,0.8829725824806105,0.9503969115648357,0.455492816115756,0.10704378949909872,9.822177945564269,95,1,-0.010704378949909873
158.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.45357530298570775,0.10723167671173793,9.9294735346036,96,1,-0.010723167671173794
159.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4684948252735931,0.10595249048559459,10.037146823426042,97,1,-0.01059524904855946
160.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4699802189322899,0.10477402030123167,10.142852759407631,98,1,-0.010477402030123168
161.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.48610357247226543,0.10684605635248645,10.251034309149215,99,1,-0.010684605635248645
162.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4514637120668272,0.10635922979285391,10.355701282752715,100,1,-0.010635922979285391
163.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4640222213811026,0.10509847565925384,10.460059521785414,101,1,-0.010509847565925386
164.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.46074124508599756,0.10774296113372857,10.564878279229175,102,1,-0.010774296113372857
165.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4630794992401832,0.10471937346688823,10.670490888813513,103,1,-0.010471937346688824
166.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4565520594779959,0.10627953783269045,10.776970542454599,104,1,-0.010627953783269046
167.0,96,0,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4585020348665849,0.10803554758458529,10.881624838787717,105,1,-0.01080355475845853
168.0,96,2,0.36523189109251014,0.8816663646693699,0.9502731492846281,0.4536324217413465,0.10702338694172112,10.881624838787717,105,1,-0.010702338694172113
169.0,97,2,0.3591735448014216,0.8810132557637493,0.9502112681445243,0.461464295894368,0.10906674677183215,10.881624838787717,105,1,-0.010906674677183216
170.0,97,4,0.3591735448014216,0.8810132557637493,0.9502112681445243,0.46951508669588293,0.1073849389136568,10.881624838787717,105,1,-0.010738493891365681
171.0,98,4,0.36523189109251014,0.880360146858129,0.9501493870044205,0.4473693885164357,0.10364621055489663,10.881624838787717,105,1,-0.010364621055489664
172.0,98,4,0.36523189109251014,0.880360146858129,0.9501493870044205,0.4671627471255194,0.10896040862410446,10.881624838787717,105,1,-0.010896040862410446
173.0,100,2,0.36523189109251014,0.8790539290468884,0.9500256247242129,0.46391288621998533,0.10905373784079929,10.881624838787717,105,1,-0.010905373784079929
174.0,101,2,0.3591735448014216,0.8784008201412681,0.9499637435841091,0.45353039833772724,0.1087374448985019,10.881624838787717,105,1,-0.010873744489850191
175.0,102,1,0.36523189109251014,0.8781902201288885,0.9497613011157056,0.4628051717303051,0.10641039267913868,10.881624838787717,105,1,-0.01064103926791387
176.0,103,1,0.3591735448014216,0.877979620116509,0.9495588586473024,0.4719596596517089,0.10545381080518168,10.881624838787717,105,1,-0.010545381080518168
177.0,104,1,0.3552141302013086,0.8777690201041295,0.9493564161788989,0.4622089370481384,0.10574390905016039,10.881624838787717,105,1,-0.010574390905016039
178.0,104,1,0.3552141302013086,0.8777690201041295,0.9493564161788989,0.4733518969067286,0.10920602613571306,10.881624838787717,105,1,-0.010920602613571306
179.0,105,1,0.3512547156011956,0.87755842009175,0.9491539737104954,0.4677855376809029,0.10783847705021801,10.881624838787717,105,1,-0.010783847705021802
180.0,106,0,0.3466149426680867,0.8773478200793705,0.9489515312420922,0.45816089427380824,0.11032838156374913,10.985607016134239,106,1,-0.011032838156374914
181.0,106,0,0.3466149426680867,0.8773478200793705,0.9489515312420922,0.46270669388236146,0.10515885148674856,11.093016815731973,107,1,-0.010515885148674856
182.0,106,0,0.3466149426680867,0.8773478200793705,0.9489515312420922,0.46890151265577806,0.10761819876013085,11.201620082115026,108,1,-0.010761819876013086
183.0,107,0,0.34197516973497777,0.877137220066991,0.9487490887736887,0.45475018049637483,0.10726167042107063,11.310485367326113,109,1,-0.010726167042107063
